Tissue,Line,Harvest,Treatment,Mg AVG,Mg SE,P AVG,P SE,S AVG,S SE,Ca AVG,Ca SE,Mn AVG,Mn SE,Fe AVG,Fe SE,Co AVG,Co SE,Ni AVG,Ni SE,Cu AVG,Cu SE,Zn AVG,Zn SE,Cd AVG,Cd SE
1_Root,1_Line 546,1_Vegetative,1_c0z2,1327.338754,68.62387955,4064.475579,301.1919348,4129.602485,504.7160319,1042.468198,169.129807,23.69021817,4.819950407,2696.502433,989.3596838,8.857606929,4.448380645,15.25609057,3.783072528,107.1929454,9.067028636,80.44685588,12.54534215,10.14397733,4.414551271
1_Root,2_Line 667,1_Vegetative,1_c0z2,1306.836995,112.5876136,3083.71729,260.9083222,5288.589097,780.5027591,603.2655668,59.36796146,14.91530425,1.285778974,773.11927,82.99539469,1.216162561,0.386276087,8.652348379,0.318933045,84.1548814,4.244182607,55.95709533,2.192340768,20.27894215,5.735290271
1_Root,3_Line 428,1_Vegetative,1_c0z2,1294.53154,62.68995362,4976.570193,703.7319009,3928.019353,676.6510137,821.3328945,180.5756926,23.01810786,10.49223022,759.8810684,4.863685915,5.653864486,1.982479618,11.39934392,1.960732291,109.3560891,16.94324496,69.1578999,10.06629356,11.18792128,3.662814554
1_Root,1_Line 546,2_Anthesis,1_c0z2,6078.780155,1498.476321,29949.79436,5012.168734,12631.8642,1790.006082,7992.441115,1467.610203,18.00353525,2.894811152,1208.775805,239.3675132,8.131964,2.772460779,8.693056062,1.73327119,31.40988178,6.467063409,43.32686344,3.307346813,0.059152525,0.020247695
1_Root,2_Line 667,2_Anthesis,1_c0z2,2065.895272,208.9023819,28294.40467,4611.20604,7846.054218,904.2923628,7831.773909,1426.088502,9.5136105,1.803098335,675.0961209,130.7682228,2.12026875,0.329478766,5.99745471,0.647207724,35.20369173,5.205529527,59.21878479,4.516961809,0.193426468,0.031580934
1_Root,3_Line 428,2_Anthesis,1_c0z2,3603.967909,704.7884401,73336.35941,14092.11751,3179.351494,128.3038363,26027.48266,3433.449179,21.5406,4.582329638,2940.213259,224.6926342,11.7628938,0.946352755,23.98893422,5.66265272,43.66674003,5.601821455,71.02340627,13.2094422,0.208907196,0.050789687
1_Root,1_Line 546,3_2WAA,1_c0z2,7099.749131,2460.197318,59317.47338,20681.73873,11519.32908,15.61489821,12863.01285,5642.801865,27.04065007,12.63819636,1263.613737,477.5745281,7.961531724,1.22396889,18.01225117,2.634351071,82.45416901,4.690212664,82.72395771,10.52733247,0.201452042,0.038580398
1_Root,2_Line 667,3_2WAA,1_c0z2,2339.398636,368.6235599,44884.63617,7976.596523,5786.881599,1220.64028,13429.08661,2422.184261,24.92706917,6.320574589,1417.40676,306.1632052,5.22634046,1.348942845,5.025050382,0.524755039,33.56707149,2.671537896,71.79183032,10.1555365,0.203723912,0.063857783
1_Root,3_Line 428,3_2WAA,1_c0z2,4048.07459,537.9807432,41333.037,8662.488598,10062.57521,1093.712466,12597.09671,2642.345182,16.9616385,3.231235346,1167.569375,112.9760123,6.203995283,0.815193615,9.1858916,1.127368572,89.46962275,6.017333461,151.0408386,24.3383668,0.285179234,0.031602906
1_Root,1_Line 546,4_4WAA,1_c0z2,4292.032376,1291.363286,33533.7803,6735.86963,5872.842691,1229.484049,19464.95651,7969.332683,36.6751061,3.943655226,2042.880413,788.0909061,9.300899526,1.962043246,12.14688493,0.426042432,184.4249818,55.35072976,129.406332,20.57547615,0.644410357,0.091685061
1_Root,2_Line 667,4_4WAA,1_c0z2,2887.676501,184.6093167,44652.45172,6357.060066,5085.933435,499.2047027,12602.97208,1951.989257,17.9926452,3.132291795,1319.973623,176.4487601,4.324893217,0.430498916,11.2337296,2.444284853,35.05267118,5.267637043,51.16957957,2.293009121,0.11748891,0.021774902
1_Root,3_Line 428,4_4WAA,1_c0z2,2747.520836,97.42930654,52305.50423,1969.127239,5208.9264,968.8528445,15443.1995,691.2222424,18.89303533,1.934055947,1476.098769,122.3950278,5.0688324,0.952023913,18.05362901,2.717188748,31.97004187,5.969099473,57.17750331,1.93957423,0.20068,0.037947696
1_Root,1_Line 546,1_Vegetative,2_c1z2,1350.546139,226.8171416,3400.223743,253.0403896,3532.68647,273.3835775,2223.382446,351.0136314,14.87984535,1.376444517,1116.357207,228.7251069,10.27448731,6.448388581,2.583859209,0.494530618,40.52506714,5.90454815,48.31984868,5.189555303,228.7499389,22.42058627
1_Root,2_Line 667,1_Vegetative,2_c1z2,1924.566884,273.6754789,4077.492977,566.7152053,3638.448031,209.1183442,4628.855782,1387.645143,21.54202906,3.38800882,972.0115934,132.0924165,14.37471621,3.43743339,7.121017687,2.772592104,33.90415692,7.713301153,63.73820324,3.88924237,160.0230676,9.193002917
1_Root,3_Line 428,1_Vegetative,2_c1z2,1754.294852,300.0998261,5402.202958,420.9099915,3288.580394,265.3956626,1792.57494,362.5002694,33.83904561,4.107855104,1389.791804,217.9742929,29.18765128,7.828038936,6.917568695,0.768498191,59.33415818,5.812400086,86.83026682,9.451288707,468.0191061,93.68522507
1_Root,1_Line 546,2_Anthesis,2_c1z2,5629.683155,1073.929096,21397.6127,3817.907888,13660.20065,1554.212343,15940.67389,6137.484994,29.42608867,9.547771458,1391.459271,476.8624545,19.34107248,7.181678309,8.354677218,1.189607354,47.98525661,7.175346314,119.4606143,20.47887098,256.9856687,43.92714522
1_Root,2_Line 667,2_Anthesis,2_c1z2,2146.60822,242.9754101,22111.86217,4589.3407,4805.651796,577.2492266,6148.578733,1443.439924,13.87956767,2.966536209,1088.130864,151.3973764,4.2898751,0.851282987,10.27382549,1.847560824,28.60601975,2.786881398,50.16361671,6.889880574,198.7634099,26.83504299
1_Root,3_Line 428,2_Anthesis,2_c1z2,2732.849388,607.3306817,46830.5002,15296.67647,4003.366498,344.1561655,5421.44242,620.7962099,18.02023483,3.769782311,2107.191583,275.1268452,5.836945017,0.787353683,29.47858313,4.425024106,25.98621072,3.765944102,61.09300411,7.189480037,199.4885992,23.64957188
1_Root,1_Line 546,3_2WAA,2_c1z2,5042.215688,392.4340037,26983.10399,4506.25653,13678.40579,2678.887311,7211.744482,1088.882426,17.9759,3.661490229,714.9269042,137.1565024,54.1375406,6.224764581,13.0435388,2.889773407,65.04785583,8.074081121,93.19191521,30.74298008,198.0332084,40.04001599
1_Root,2_Line 667,3_2WAA,2_c1z2,1838.714303,167.5871217,23772.29962,6526.032612,5904.868519,938.5152781,6151.603478,1640.89413,12.31423133,2.604555419,876.0606602,177.9834212,5.910369825,1.436736813,10.59773167,2.308839385,28.91200097,3.544222463,71.70025353,14.15872554,164.8739526,24.55158974
1_Root,3_Line 428,3_2WAA,2_c1z2,3817.24084,1091.872215,44657.68213,12695.51633,4697.047086,449.0301834,20688.43225,2131.888683,25.34971295,3.653537155,3845.430084,1323.340416,5.209929416,0.843151482,36.88911522,7.98184611,73.26390635,22.02757502,115.7365559,4.163046435,199.9461802,25.56444596
1_Root,1_Line 546,4_4WAA,2_c1z2,5018.878403,856.4201499,39542.04311,10605.57273,10766.07576,1245.241533,13346.07208,3886.324767,34.80901967,7.208438994,1546.942561,299.0343421,8.2412144,1.295759894,24.81204356,6.166591682,73.58912613,12.28750549,123.1102307,25.05336312,195.9028869,22.37038111
1_Root,2_Line 667,4_4WAA,2_c1z2,1815.981764,154.8402186,28204.44879,3673.50334,4413.208735,397.9492192,7880.796659,1088.825601,20.3003748,2.834222504,1517.439082,198.7533587,4.625418683,0.8967633,22.20311965,5.134131137,31.91922648,4.871859021,56.97927893,5.589859319,195.2978974,35.80056263
1_Root,3_Line 428,4_4WAA,2_c1z2,3122.455089,312.1643,54512.46752,5006.19615,5061.041111,428.3354378,15874.61467,1486.099837,24.49970414,2.477936091,1923.027253,222.6572913,6.182946514,0.409232544,19.77630723,1.964952844,66.7106373,9.66591303,122.8240742,14.66968374,298.0337206,21.80848561
1_Root,1_Line 546,1_Vegetative,3_c0z10,1822.340005,173.6564304,5648.824249,558.1643018,3665.522698,201.4581439,6007.902268,1431.205564,26.4825657,4.661007967,1131.103377,184.710529,25.33121295,14.24323037,10.26457419,1.243395349,87.54668877,13.53421397,386.891029,36.50096383,0.520433098,0.068245902
1_Root,2_Line 667,1_Vegetative,3_c0z10,2431.956248,127.0115741,6503.26728,367.3560989,4106.888356,249.490575,8694.735824,916.6942341,19.24337807,1.679232533,575.7177686,42.22664768,16.90851751,3.410422838,21.70134389,2.950289282,43.17715369,2.630484691,504.394722,30.48949565,0.297567289,0.036459619
1_Root,3_Line 428,1_Vegetative,3_c0z10,2021.031065,52.98528815,7521.043529,816.1513003,3245.629499,101.1250121,8553.000403,1363.489674,15.14214626,3.552059744,983.1680237,108.3052912,13.98713164,1.625301345,49.86697373,8.966492146,75.7437735,2.880384256,227.2569268,25.469974,0.595962958,0.362349352
1_Root,1_Line 546,2_Anthesis,3_c0z10,1323.101199,339.0130189,12186.5734,6847.469053,3240.816073,248.752981,19287.61619,15371.0605,26.48706744,8.033181716,3753.139643,1177.272176,45.89808012,2.90671959,16.15122441,1.716243146,120.2978754,44.13527448,769.4870647,194.0910904,2.916309958,1.45659692
1_Root,2_Line 667,2_Anthesis,3_c0z10,1852.471151,249.1308621,18851.93143,5288.122712,4828.432763,243.1212338,35356.49225,11764.40951,23.31193865,4.679508394,1529.998956,117.1022234,7.771845713,2.086329995,15.88277645,6.431986155,83.5629432,13.24129477,546.2107759,79.70796223,0.9991096,0.347324596
1_Root,3_Line 428,2_Anthesis,3_c0z10,2422.527043,195.2067393,26120.90269,3924.968835,4469.854547,251.7969049,49208.52189,8172.18924,19.77623067,1.896569582,1662.601095,205.8431183,11.20757888,2.681756039,12.76101012,0.526809222,29.20127888,4.98387799,574.6904328,41.89830183,0.232487527,0.017801676
